prey growth rate,0.8
prey death rate,0.2
predator growth rate,0.0004
predator death,0.2
x,500
y,20
n,90000
t (days),180

timestep,x,y
1.8,1944.73,30.0758
1.802,1947.61,30.1106
1.804,1950.49,30.1455
1.806,1953.38,30.1805
1.808,1956.27,30.2157
1.81,1959.17,30.2509
1.812,1962.07,30.2863
1.814,1964.97,30.3218
1.816,1967.88,30.3574
1.818,1970.79,30.3931
1.82,1973.71,30.4289
1.822,1976.63,30.4648
1.824,1979.55,30.5009
1.826,1982.48,30.537
1.828,1985.41,30.5733
1.83,1988.35,30.6097
1.832,1991.29,30.6462
1.834,1994.23,30.6828
1.836,1997.18,30.7196
1.838,2000.13,30.7564
1.84,2003.09,30.7934
1.842,2006.05,30.8305
1.844,2009.01,30.8677
1.846,2011.98,30.905
1.848,2014.95,30.9424
1.85,2017.93,30.98
1.852,2020.91,31.0177
1.854,2023.89,31.0555
1.856,2026.88,31.0934
1.858,2029.88,31.1314
1.86,2032.87,31.1696
1.862,2035.87,31.2079
1.864,2038.88,31.2463
1.866,2041.89,31.2848
1.868,2044.9,31.3235
1.87,2047.92,31.3622
1.872,2050.94,31.4011
1.874,2053.97,31.4402
1.876,2057,31.4793
1.878,2060.03,31.5186
1.88,2063.07,31.558
1.882,2066.11,31.5975
1.884,2069.16,31.6372
1.886,2072.21,31.6769
1.888,2075.27,31.7169
1.89,2078.32,31.7569
1.892,2081.39,31.797
1.894,2084.46,31.8373
1.896,2087.53,31.8778
1.898,2090.6,31.9183
1.9,2093.68,31.959
1.902,2096.77,31.9998
1.904,2099.86,32.0407
1.906,2102.95,32.0818
1.908,2106.05,32.123
1.91,2109.15,32.1644
1.912,2112.25,32.2058
1.914,2115.36,32.2474
1.916,2118.48,32.2892
1.918,2121.59,32.3311
1.92,2124.72,32.3731
1.922,2127.84,32.4152
1.924,2130.97,32.4575
1.926,2134.11,32.4999
1.928,2137.25,32.5425
1.93,2140.39,32.5852
1.932,2143.54,32.628
1.934,2146.69,32.671
1.936,2149.85,32.7141
1.938,2153.01,32.7573
1.94,2156.17,32.8007
1.942,2159.34,32.8442
1.944,2162.52,32.8879
1.946,2165.69,32.9317
1.948,2168.88,32.9757
1.95,2172.06,33.0198
1.952,2175.25,33.064
1.954,2178.45,33.1084
1.956,2181.65,33.1529
1.958,2184.85,33.1976
1.96,2188.06,33.2424
1.962,2191.27,33.2874
1.964,2194.49,33.3325
1.966,2197.71,33.3778
1.968,2200.93,33.4232
1.97,2204.16,33.4687
1.972,2207.4,33.5144
1.974,2210.63,33.5603
1.976,2213.88,33.6063
1.978,2217.12,33.6524
1.98,2220.37,33.6987
1.982,2223.63,33.7452
1.984,2226.89,33.7918
1.986,2230.15,33.8386
1.988,2233.42,33.8855
1.99,2236.69,33.9325
1.992,2239.97,33.9798
1.994,2243.25,34.0271
1.996,2246.54,34.0747
1.998,2249.83,34.1224
2,2253.12,34.1702
2.002,2256.42,34.2182
2.004,2259.73,34.2664
2.006,2263.04,34.3147
2.008,2266.35,34.3632
2.01,2269.67,34.4118
2.012,2272.99,34.4606
2.014,2276.31,34.5096
2.016,2279.64,34.5587
2.018,2282.98,34.608
2.02,2286.32,34.6574
2.022,2289.66,34.707
