prey growth rate,0.5
prey death rate,0.002
predator 1 growth rate,0.00025
predator 1 death rate,0.11
predator 2 growth rate,0.00023
predator 2 death rate,0.1
x,500
y,100
z,100
n,20000
t (days),500

timestep,x,y,z
17.875,257.852,127.976,128.195
17.9,257.774,127.83,128.065
17.925,257.7,127.684,127.935
17.95,257.63,127.539,127.805
17.975,257.563,127.394,127.674
18,257.499,127.249,127.544
18.025,257.439,127.103,127.414
18.05,257.383,126.958,127.285
18.075,257.33,126.814,127.155
18.1,257.281,126.669,127.025
18.125,257.235,126.524,126.895
18.15,257.193,126.38,126.766
18.175,257.154,126.236,126.637
18.2,257.119,126.091,126.507
18.225,257.087,125.947,126.378
18.25,257.059,125.803,126.249
18.275,257.034,125.66,126.12
18.3,257.013,125.516,125.991
18.325,256.996,125.372,125.862
18.35,256.982,125.229,125.734
18.375,256.971,125.086,125.605
18.4,256.964,124.943,125.477
18.425,256.96,124.8,125.349
18.45,256.96,124.657,125.221
18.475,256.963,124.515,125.093
18.5,256.97,124.373,124.965
18.525,256.98,124.23,124.837
18.55,256.994,124.088,124.71
18.575,257.011,123.947,124.582
18.6,257.032,123.805,124.455
18.625,257.056,123.663,124.328
18.65,257.083,123.522,124.201
18.675,257.114,123.381,124.074
18.7,257.149,123.24,123.947
18.725,257.187,123.099,123.821
18.75,257.228,122.959,123.694
18.775,257.273,122.818,123.568
18.8,257.321,122.678,123.442
18.825,257.373,122.538,123.316
18.85,257.428,122.398,123.191
18.875,257.486,122.259,123.065
18.9,257.548,122.12,122.94
18.925,257.613,121.98,122.814
18.95,257.682,121.841,122.689
18.975,257.754,121.703,122.565
19,257.83,121.564,122.44
19.025,257.909,121.426,122.315
19.05,257.991,121.288,122.191
19.075,258.077,121.15,122.067
19.1,258.166,121.012,121.943
19.125,258.259,120.875,121.819
19.15,258.355,120.738,121.696
19.175,258.455,120.601,121.572
19.2,258.557,120.464,121.449
19.225,258.664,120.328,121.326
19.25,258.773,120.191,121.204
19.275,258.886,120.055,121.081
19.3,259.003,119.919,120.959
19.325,259.123,119.784,120.836
19.35,259.246,119.649,120.715
19.375,259.372,119.514,120.593
19.4,259.502,119.379,120.471
19.425,259.636,119.244,120.35
19.45,259.773,119.11,120.229
19.475,259.913,118.976,120.108
19.5,260.056,118.842,119.987
19.525,260.203,118.709,119.867
19.55,260.354,118.575,119.747
19.575,260.507,118.442,119.627
19.6,260.664,118.31,119.507
19.625,260.825,118.177,119.387
19.65,260.989,118.045,119.268
19.675,261.156,117.913,119.149
19.7,261.327,117.781,119.03
19.725,261.501,117.65,118.912
19.75,261.678,117.519,118.793
19.775,261.859,117.388,118.675
19.8,262.043,117.257,118.557
19.825,262.231,117.127,118.44
19.85,262.421,116.997,118.322
19.875,262.616,116.867,118.205
19.9,262.813,116.738,118.088
19.925,263.015,116.609,117.972
19.95,263.219,116.48,117.855
19.975,263.427,116.352,117.739
20,263.638,116.223,117.623
20.025,263.853,116.095,117.507
20.05,264.071,115.968,117.392
20.075,264.292,115.84,117.277
20.1,264.517,115.713,117.162
20.125,264.745,115.586,117.048
20.15,264.977,115.46,116.933
20.175,265.212,115.334,116.819
20.2,265.45,115.208,116.705
20.225,265.692,115.082,116.592
20.25,265.937,114.957,116.479
20.275,266.186,114.832,116.366
20.3,266.437,114.708,116.253
20.325,266.693,114.583,116.141
20.35,266.952,114.46,116.029
20.375,267.214,114.336,115.917
20.4,267.479,114.213,115.805
20.425,267.748,114.09,115.694
20.45,268.02,113.967,115.583
20.475,268.296,113.845,115.472
20.5,268.575,113.723,115.362
20.525,268.858,113.601,115.252
20.55,269.144,113.48,115.142
20.575,269.433,113.359,115.033
20.6,269.726,113.238,114.923
20.625,270.022,113.118,114.814
20.65,270.322,112.998,114.706
20.675,270.625,112.878,114.597
20.7,270.932,112.759,114.489
20.725,271.242,112.64,114.382
20.75,271.555,112.521,114.274
20.775,271.872,112.403,114.167
20.8,272.192,112.285,114.06
20.825,272.516,112.167,113.954
20.85,272.843,112.05,113.848
20.875,273.173,111.933,113.742
20.9,273.507,111.816,113.636
